Description,Reference
Mains filter single-phase; 9 A; 115/230 Vac,VW3A4420
Mains filter single-phase; 16 A; 115/230 Vac,VW3A4421
Mains filter three-phase; 15 A; 208/400/480 Vac,VW3A4422
