Characteristic,Unit,Value,Unnamed: 0
,,"LXM32•U45, LXM32•U60,","LXM32•D12, LXM32•D18,"
,,LXM32•U90,LXM32•D30M2
B,mm (in),68 ±1 (2.68 ±0.04),68 ±1 (2.68 ±0.04)
H,mm (in),270 (10.63),270 (10.63)
e,mm (in),24 (0.94),24 (0.94)
a,mm (in),20 (0.79),20 (0.79)
Type of cooling,-,Convection(1),Fan 40 mm (1.57 in)
(1) Greater than 1 m/s,,,
