Characteristic,Unit,Value,Unnamed: 0
,,"LXM32•U45, LXM32•U60,LXM32•U90, LXM32•D12,LXM32•D18, LXM32•D30,LXM32•D72","LXM32•D85, LXM32•C10"
A,mm (in),140 (5.51),220 (8.66)
B,mm (in),135 (5.32),205 (8.07)
C,mm (in),130 (5.12),200 (7.87)
D,mm (in),50 (1.97),50 (1.97)
