Characteristic,Unit,"ValueLXM32•D85, LXM32•C10"
B,mm (in),180 ±1 (7.09 ±0.04)
H,mm (in),385 (15.18)
E,mm (in),140 (5.51)
Type of cooling,-,Fan 80 mm (3.15 in)
