Characteristic,Unit,Value,Unnamed: 0
,,"LXM32•U45, LXM32•U60,","LXM32•D85, LXM32•C10"
,,"LXM32•U90, LXM32•D12,",
,,"LXM32•D18, LXM32•D30,",
,,LXM32•D72,
Tightening torque of grounding screw,Nm,3.5,3
,(lb.in),(31),(27)
