Characteristic,Unit,Value,Unnamed: 0
,,"LXM32•U45,","LXM32•D85,"
,,"LXM32•U60,",LXM32•C10
,,"LXM32•U90,",
,,"LXM32•D12,",
,,"LXM32•D18,",
,,"LXM32•D30,",
,,LXM32•D72,
Connection cross section,mm2,0.75 ... 3.3,1.5 ... 25
,(AWG),(18 ... 12),(14 ... 4)
Tightening torque for terminal,Nm,0.51,3.8
screws,,,
,(lb.in),(4.5),(33.6)
Stripping length,mm,10 ... 11,18
,(in),(0.39 ... 0.43),(0.71)
