Characteristic,Unit,Value
Input voltage,Vdc,
Level 0,,-3 ... 5
Level 1,,15 ... 30
Input current (at 24 Vdc),mA,5
Debounce time STO_A and STO_B,ms,>1
Detection of signal differences between,s,>1
STO_A and STO_B,,
Response time of safety-related function,ms,≤10
STO,,
