Shield:,"Required, both ends grounded"
Twisted Pair:,Required
PELV:,Required
Cable composition:,"6 * 0.14 mm2 + 2 * 0.34 mm2(6 * AWG 24 + 2 * AWG 20)"
Maximum cable length:,100 m (328.08 ft)
