Description,Reference
"Safety module eSM with safety functions SOS, SLS, SS1, SS2 as per IEC/EN 61800-5-2",VW3M3501
"Cable for safety module eSM, 3 m (9.84 ft); 24-pin connector, other cable end open",VW3M8801R30
"Cable for safety module eSM, 1.5 m (4.92 ft); 2 x 24-pin connector",VW3M8802R15
"Cable for safety module eSM, 3 m (9.84 ft); 2 x 24-pin connector",VW3M8802R30
