Characteristic,Unit,Value,Unnamed: 0
,,LXM32•D30N4,LXM32•D72
B,mm (in),68 ±1 (2.68 ±0.04),108 ±1 (4.25 ±0.04)
H,mm (in),270 (10.63),274 (10.79)
e,mm (in),13 (0.51),13 (0.51)
E,mm (in),42 (1.65),82 (3.23)
a,mm (in),20 (0.79),24 (0.94)
Type of cooling,-,Fan 60 mm (2.36 in),Fan 80 mm (3.15 in)
