EMC measures,Objective
"Use mounting plates with good electrical conductivity, connect",Good conductivity due to large
"large surface areas of metal parts, remove paint from contact",surface contact.
areas.,
"Ground the control cabinet, the control cabinet door and the",Reduces emissions.
mounting plate with ground straps or ground wires. The conductor,
cross section must be at least 10 mm2 (AWG 6).,
