Unnamed: 0,Unnamed: 1,1 ws-ge,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
A/Ua 1 <,,,"0,14",1,1,A/Ua 1
< 2A/Ua 1,,2 gn,"0,14",2,2,A/Ua 1
