Ce symbole est utilisé lorsque l'on veut mettre en,Unnamed: 0,ATTENTION
garde contre une tension électrique dangereuse.,0.3,
Risque de dommage corporel si les consignes don,Risque pour l'unité !,
nées ne sont pas respectées ou lorsqu'elles sont mal,Respectez toutes les mesures de protection ESD lors,
respectées.,du maniement de l'unité ! Evitez les décharges élec,
