Servo drive,Category C2,Category C3,Unnamed: 0,Unnamed: 1
,with mains filter,"with mains filterand mains choke","without mains filterand without mainschoke","with mains filterand mains choke"
AX51601),max. 10 m,max. 25 m,max. 25 m,max. 50 m
AX51722),max. 10 m,max. 25 m,max. 25 m,max. 50 m
AX51903),---,max. 10 m,---,max. 25 m
AX51914),---,max. 10 m,---,max. 25 m
AX51925),---,max. 10 m,---,max. 25 m
AX51936),---,max. 10 m,---,max. 25 m
