Rated motor current,Motor cable length,Servo Drives,Motor choke
max. 400 V,>20 m to 100 m,"AX5101, AX5103, AX5106,AX5112,AX5201, AX5203, AX5206",AX2090-MD50-0012
max. 480 V,>20 m to 100 m,,
max. 400 V,>20 m to 50 m,AX5118 and AX5125,AX2090-MD50-0025
max. 480 V,>20 m to 50 m,,
