Function,Description
F1,Reverse travel with Manual Velocity (Fast)
F2,Reverse travel with Manual Velocity (Slow)
F3,Forward travel with Manual Velocity (Slow)
F4,Forward travel with Manual Velocity (Fast)
F5,"Start a direct travel command•Enter the Target Position•Enter the Target Velocity•Start the travel command with F5"
F6,Stop a direct travel command
,
F8,Reset the control (if hand control has stopped responding)
F9,Trigger homing (see TwinCAT documentation)
