Unnamed: 0,AX5101,AX5103,AX5106 AX5201,Unnamed: 1,AX5203,AX5206
AC-supply (max.) *),6 A,12 A,20 A 12 A,,20 A,20 A
24 V-supply (max.),,,3 A,,,
Brake resistor,,,electronic,,,
