Figure,Article no.,Description
,AX5901,"AX-Bridge power supply module for connection of supply voltage and 24 V DCfor control and brake energy (pluggable), for AX5x01...AX5125, 85 A"
AX5902,"AX-Bridge power supply module for connection of supply voltage and 24 V DCfor control and brake energy (pluggable), for AX5140, 85 A",
