Servo Drives,AX5160,AX5172,AX5190,AX5191,AX5192,AX5193
Min. brake resistor,13 Ω,13 Ω,10 Ω,10 Ω,6.5 Ω,6.5 Ω
(external brake resistor),,,,,,
